damageLevel,hurt,collapse,deltaP,ammoQuantity,outerSideLength,outerSideWidth,outerHeight,roofThick,wallThick,soilThick,liningPlateThick
3,0.30146667,0.1511,4.20E-06,10,6.5,7,5,1.5,1,2,0.45
1,8.27E-06,0,1.65E-05,1,4,7,4.5,1.5,1,2,0.45
4,1,0.3514,0.20523421,24,8.5,7,3.5,1.5,0.5,2,0.3
1,2.88E-06,0,5.77E-06,4,4.5,7,4.5,1.5,0.5,2,0.4
4,1,0.1106,0.25444306,9,6,7,7,1.5,1.5,2,0.35
1,2.48E-06,0,4.97E-06,2,6.5,7,6.5,1.5,1.5,2,0.3
4,1,0.1571,0.26256299,3,7.5,7,5,1.5,1.5,2,0.15
2,0.2703,0.1302,2.27E-05,10,9,7,2.5,1.5,1.5,2,0.35
3,0.43386667,0.2504,2.94E-05,1,4,7,3.5,1.5,1,2,0.1
1,0.1428,0.0476,1.68E-06,5,9.5,7,5.5,1.5,1,2,0.35
2,0.2223,0.0982,1.21E-05,7,9.5,7,2.5,1.5,1,2,0.4
4,1,0.1492,0.22002773,12,8.5,7,4,1.5,1,2,0.35
2,0.23085,0.1039,6.82E-06,1,7,7,5,1.5,1.5,2,0.15
2,0.2352,0.1068,3.62E-06,7,9,7,4,1.5,1,2,0.45
1,8.27E-06,0,1.65E-05,2,4.5,7,6.5,1.5,1.5,2,0.45
1,2.48E-06,0,4.97E-06,5,5.5,7,5.5,1.5,1,2,0.4
4,1,0.3365,0.23925824,23,5,7,4.5,1.5,0.5,2,0.45
4,0.94920813,0.2023,0.14920813,18,8,7,6,1.5,1,2,0.35
4,1,0.413,0.22049737,21,7.5,7,6,1.5,1.5,2,0.15
4,1,0.4331,0.21504624,13,4.5,7,5.5,1.5,0.5,2,0.1
4,0.88326152,0.2541,0.09790769,18,9.5,7,7.5,1.5,1,2,0.1
1,1.14E-05,0,2.27E-05,2,6,7,3.5,1.5,1.5,2,0.35
2,0.18345,0.0723,6.18E-06,5,10,7,3,1.5,1,2,0.2
1,5.92E-05,0,0.00011844,1,5,7,2,1.5,1,2,0.1
2,0.1944,0.0796,2.68E-06,4,5.5,7,5.5,1.5,0.5,2,0.25
2,0.17625,0.0675,2.79E-06,3,9,7,4.5,1.5,1,2,0.2
