11.14,10.03,905,1.2,1.52,0.37,0.014,1.38,0.23,0.46,0.29,149,0.0848 
11.88,8.74,1180,1.44,1.09,0.24,0.014,1.11,0.25,0.58,0.11,39,0.0447 
7.84,9.89,1432,1.48,0.85,0.53,0.009,1.12,0.35,0.59,0.24,99,0.0934 
8.17,5.12,915,0.4,0.45,0.36,0.015,0.74,0.44,0.46,0.25,131,0.1011 
11.25,9.19,920,1.23,0.49,0.41,0.018,1.73,0.2,0.59,0.21,130,0.0445 
5.89,5.41,1189,1.67,0.44,0.5,0.013,1.03,0.69,0.55,0.42,172,0.1623 
6.21,7.95,1354,1.57,1.73,0.23,0.01,1.85,0.64,0.29,0.41,121,0.2690 
6.43,11.44,1068,0.54,1.01,0.61,0.016,1.86,0.62,0.35,0.49,126,0.0995 
9.56,7.91,1329,1.68,0.72,0.26,0.008,1.08,0.2,0.58,0.46,156,0.0929 
8.2,9.76,1041,1.39,0.61,0.48,0.019,0.66,0.24,0.44,0.49,99,0.0607 
11.49,9.86,1025,0.44,1.61,0.5,0.016,1.29,0.57,0.21,0.18,60,0.0598 
6.28,5.38,1104,1.58,1.33,0.51,0.007,1.09,0.61,0.2,0.42,158,0.2982 
9.87,6.78,1407,0.77,0.82,0.54,0.016,1.28,0.51,0.66,0.38,101,0.0925 
10.7,9.56,1010,0.4,1.52,0.57,0.006,0.54,0.52,0.49,0.3,17,0.0356 
8.26,11.99,1080,0.63,0.53,0.24,0.015,1.27,0.57,0.46,0.36,86,0.0379 
9.95,10.54,816,0.33,1.63,0.51,0.013,1.95,0.3,0.68,0.35,79,0.0635 
7.45,10.35,1077,1.75,1.35,0.5,0.012,0.73,0.51,0.43,0.18,107,0.1141 
10.92,7.71,1264,1.53,1.12,0.27,0.018,1.87,0.23,0.68,0.25,119,0.0919 
10.91,9.4,1397,1.8,1.79,0.53,0.006,1.45,0.28,0.65,0.42,195,0.1393 
8.61,5.79,1372,1.5,1.19,0.47,0.008,1.7,0.36,0.65,0.29,130,0.1712 
8.42,11.82,1363,1.7,0.39,0.47,0.01,1.06,0.29,0.39,0.23,137,0.0500 
5.96,9.07,1288,0.48,0.43,0.48,0.008,1.97,0.3,0.46,0.37,99,0.0783 
7.44,7.02,1178,0.66,1,0.58,0.014,1.73,0.46,0.3,0.12,167,0.1619 
8.56,6.81,1164,1.78,0.88,0.5,0.008,0.52,0.29,0.27,0.3,67,0.0813 
7.24,9.68,1455,1.23,0.92,0.24,0.015,1.68,0.3,0.36,0.28,90,0.1109 
